directory,functions,tested,tag
arch/sh/oprofile,7,0,v3.0
arch/sparc/boot,14,1,v3.0
arch/sparc/kernel,1598,5,v3.0
arch/sparc/lib,27,1,v3.0
arch/sparc/math-emu,5,0,v3.0
arch/sparc/mm,440,0,v3.0
arch/sparc/oprofile,6,0,v3.0
arch/sparc/prom,96,0,v3.0
arch/tile/kernel,317,3,v3.0
arch/tile/lib,67,6,v3.0
arch/tile/mm,121,1,v3.0
arch/um/drivers,392,0,v3.0
arch/um/kernel,220,4,v3.0
arch/um/os-Linux,254,2,v3.0
arch/um/sys-i386,69,0,v3.0
arch/um/sys-ppc,8,0,v3.0
arch/um/sys-x86_64,30,0,v3.0
arch/unicore32/boot,3,2,v3.0
arch/unicore32/kernel,192,2,v3.0
arch/unicore32/mm,74,0,v3.0
arch/x86/boot,146,8,v3.0
arch/x86/crypto,87,0,v3.0
arch/x86/ia32,55,0,v3.0
arch/x86/kernel,2596,5,v3.0
arch/x86/kvm,1112,0,v3.0
arch/x86/lguest,65,0,v3.0
arch/x86/lib,105,7,v3.0
arch/x86/math-emu,158,0,v3.0
arch/x86/mm,530,21,v3.0
arch/x86/net,7,0,v3.0
arch/x86/oprofile,95,0,v3.0
arch/x86/pci,247,0,v3.0
arch/x86/platform,246,0,v3.0
arch/x86/power,18,0,v3.0
arch/x86/tools,6,0,v3.0
arch/x86/vdso,30,0,v3.0
arch/x86/video,1,0,v3.0
arch/x86/xen,322,0,v3.0
arch/xtensa/boot,3,0,v3.0
arch/xtensa/kernel,109,1,v3.0
arch/xtensa/lib,5,0,v3.0
arch/xtensa/mm,25,0,v3.0
arch/xtensa/platforms,73,0,v3.0
arch/xtensa/variants,23,2,v3.0
drivers/accessibility/braille,9,0,v3.0
drivers/acpi/acpica,653,0,v3.0
drivers/acpi/apei,137,0,v3.0
drivers/base/power,177,0,v3.0
drivers/block/aoe,76,0,v3.0
drivers/block/drbd,422,0,v3.0
drivers/block/paride,358,0,v3.0
drivers/block/xen-blkback,40,0,v3.0
drivers/char/agp,423,0,v3.0
drivers/char/hw_random,143,0,v3.0
drivers/char/ipmi,327,1,v3.0
drivers/char/mwave,42,0,v3.0
drivers/char/pcmcia,157,0,v3.0
drivers/char/tpm,107,1,v3.0
drivers/char/xilinx_hwicap,39,0,v3.0
drivers/cpuidle/governors,16,0,v3.0
drivers/crypto/amcc,60,0,v3.0
drivers/crypto/caam,40,0,v3.0
