directory,non_static,tested,tag
drivers/mtd/lpddr,6,0,v3.0
drivers/mtd/maps,5,0,v3.0
drivers/mtd/nand,53,2,v3.0
drivers/mtd/onenand,10,0,v3.0
drivers/mtd/ubi,85,0,v3.0
drivers/net/appletalk,2,0,v3.0
drivers/net/arcnet,10,0,v3.0
drivers/net/atl1c,17,0,v3.0
drivers/net/atl1e,21,0,v3.0
drivers/net/benet,53,0,v3.0
drivers/net/bna,137,0,v3.0
drivers/net/bnx2x,87,0,v3.0
drivers/net/bonding,52,0,v3.0
drivers/net/caif,10,0,v3.0
drivers/net/can,40,0,v3.0
drivers/net/chelsio,56,0,v3.0
drivers/net/cris,1,0,v3.0
drivers/net/cxgb3,134,0,v3.0
drivers/net/cxgb4,84,0,v3.0
drivers/net/cxgb4vf,41,0,v3.0
drivers/net/e1000,54,0,v3.0
drivers/net/e1000e,132,0,v3.0
drivers/net/ehea,56,0,v3.0
drivers/net/enic,99,0,v3.0
drivers/net/fs_enet,2,0,v3.0
drivers/net/hamradio,6,0,v3.0
drivers/net/ibm_newemac,52,0,v3.0
drivers/net/igb,106,0,v3.0
drivers/net/igbvf,12,0,v3.0
drivers/net/irda,17,0,v3.0
drivers/net/ixgb,28,0,v3.0
drivers/net/ixgbe,145,0,v3.0
drivers/net/ixgbevf,11,0,v3.0
drivers/net/ixp2000,22,0,v3.0
drivers/net/mlx4,190,3,v3.0
drivers/net/netxen,48,0,v3.0
drivers/net/pch_gbe,34,0,v3.0
drivers/net/phy,49,0,v3.0
drivers/net/qlcnic,73,0,v3.0
drivers/net/qlge,59,0,v3.0
drivers/net/sfc,146,7,v3.0
drivers/net/skfp,146,0,v3.0
drivers/net/stmmac,19,0,v3.0
drivers/net/tile,1,0,v3.0
drivers/net/tokenring,12,0,v3.0
drivers/net/tulip,23,0,v3.0
drivers/net/usb,37,0,v3.0
drivers/net/vmxnet3,11,0,v3.0
drivers/net/vxge,94,0,v3.0
drivers/net/wan,60,0,v3.0
drivers/net/wimax,65,0,v3.0
drivers/net/wireless,2564,2,v3.0
drivers/net/xen-netback,20,0,v3.0
drivers/pci/hotplug,162,0,v3.0
drivers/pci/pcie,40,0,v3.0
drivers/platform/x86,34,0,v3.0
drivers/pnp/isapnp,8,0,v3.0
drivers/pnp/pnpacpi,4,0,v3.0
drivers/pnp/pnpbios,18,0,v3.0
drivers/s390/block,96,0,v3.0
drivers/s390/char,117,0,v3.0
drivers/s390/cio,234,0,v3.0
drivers/s390/crypto,26,0,v3.0
drivers/s390/net,123,0,v3.0
